着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),date,race_type,course_ren,weather,ground_state,horse_id,jockey_id
202101010109,13,1,1,サンメディル,牡4,57.0,大野,1:51.1,大,9.0,19.2,43.3,1-1-3-9,栗東石坂,500(-17),2021年6月12日,ダ,1700,晴,良,2017110168,01096
202101010109,14,5,7,サンライズボルト,牡3,54.0,鮫島駿,1:52.0,5,5.0,10.7,43.2,10-9-11-14,栗東羽月,462(-8),2021年6月12日,ダ,1700,晴,良,2018100399,01157
202101010110,1,2,2,ナックイルシーブ,牡3,53.0,大野,2:46.2,,2.0,2.9,34.0,3-3-4-3,美浦杉浦,506(-6),2021年6月12日,芝,2600,晴,良,2018105521,01096
202101010110,2,5,5,サングレデクリスト,牡4,57.0,鮫島駿,2:46.3,クビ,6.0,23.7,34.4,3-3-2-1,栗東清水久,518(-6),2021年6月12日,芝,2600,晴,良,2017105655,01157
202101010110,3,7,7,ダノンセレスタ,牡4,57.0,武豊,2:46.5,1.1/4,1.0,2.5,34.5,2-2-3-3,栗東音無,498(0),2021年6月12日,芝,2600,晴,良,2017105402,00666
202101010110,4,1,1,テーオーラファエロ,牡3,53.0,吉田隼,2:46.6,3/4,3.0,4.2,34.2,5-5-6-6,栗東須貝,452(-8),2021年6月12日,芝,2600,晴,良,2018104716,01095
202101010110,5,6,6,ピエナアラシ,牡7,57.0,西谷凜,2:46.7,3/4,5.0,14.7,34.4,5-5-4-3,栗東谷,474(-8),2021年6月12日,芝,2600,晴,良,2014103521,01189
202101010110,6,4,4,トゥプエデス,牡5,57.0,永島,2:46.8,1/2,8.0,94.2,35.0,1-1-1-2,栗東高橋康,454(-6),2021年6月12日,芝,2600,晴,良,2016103067,01187
202101010110,7,8,8,インペリアルツアー,牡3,53.0,山田,2:46.9,3/4,7.0,29.1,34.2,8-7-8-8,美浦加藤和,444(-4),2021年6月12日,芝,2600,晴,良,2018101729,01173
202101010110,8,3,3,スマイルガール,牝4,55.0,古川吉,2:47.0,クビ,4.0,7.5,34.5,7-7-7-6,栗東宮,434(0),2021年6月12日,芝,2600,晴,良,2017101523,01015
202101010111,1,1,1,ブラックダンサー,牝5,55.0,岩田康,1:08.6,,6.0,9.2,34.4,5-6,栗東高野,490(0),2021年6月12日,芝,1200,晴,良,2016104751,05203
202101010111,2,6,11,インザムービー,牝4,55.0,亀田,1:08.8,1.1/4,5.0,8.4,34.7,5-4,栗東牧田,498(+6),2021年6月12日,芝,1200,晴,良,2017104059,01176
202101010111,3,2,4,オーロラフラッシュ,牝4,55.0,団野,1:09.0,1.1/4,10.0,23.1,34.3,10-10,美浦藤沢和,458(-2),2021年6月12日,芝,1200,晴,良,2017110103,01180
202101010111,4,7,14,ニシノストーム,牡4,57.0,大野,1:09.0,クビ,15.0,63.9,34.2,13-14,美浦杉浦,486(-16),2021年6月12日,芝,1200,晴,良,2017102105,01096
202101010111,5,4,8,ヴォイスオブジョイ,牝5,55.0,国分恭,1:09.0,アタマ,13.0,49.5,34.1,14-14,美浦水野,458(-2),2021年6月12日,芝,1200,晴,良,2016110058,01124
